source,target,value
北京,武汉市,1195
天津,武汉市,1159
河北,武汉市,1068
山西,武汉市,1045
内蒙古,武汉市,637
辽宁,武汉市,1624
吉林,武汉市,1179
黑龙江,武汉市,997
上海,武汉市,1608
江苏,武汉市,2410
浙江,武汉市,1843
安徽,武汉市,1324
福建,武汉市,1101
江西,武汉市,810
山东,武汉市,1194
河南,武汉市,1262
湖南,武汉市,849
广东,武汉市,1892
广西,武汉市,831
海南,武汉市,577
重庆,武汉市,814
四川,武汉市,1458
贵州,武汉市,582
云南,武汉市,639
陕西,武汉市,919
甘肃,武汉市,776
青海,武汉市,239
宁夏,武汉市,571
新疆,武汉市,387
兵团,武汉市,107
北京,鄂州市,20
贵州,鄂州市,819
天津,恩施州,130
山东,黄冈市,588
湖南,黄冈市,609
江苏,黄石市,347
内蒙古,荆门市,161
浙江,荆门市,142
广东,荆州市,560
海南,荆州市,266
广西,十堰市,130
江西,随州市,391
云南,咸宁市,493
辽宁,襄阳市,421
宁夏,襄阳市,216
黑龙江,孝感市,537
重庆,孝感市,800
福建,宜昌市,265
山西,仙桃市、天门市、潜江市,464
河北,神农架林区,22
